,256,512,1024,2048,4096,9192
DNABERT2,"0,01","0,03","0,01","0,01","0,01","0,01"
NTv2 100m,"0,02","0,01","0,00","0,01","0,01","0,00"
GENA,"0,00","0,01",,,,
ModernGENA,"0,15","0,01","0,01","0,01","0,01","0,05"
NTv2 250m,"0,11","0,00","0,00","0,01","0,00","0,00"
GENA large,"0,00","0,00",,,,
ModernGENA large,"0,02","0,00","0,00","0,00","0,00","0,00"
ModernGENA  (fa2 + autocast bf16),"1,41","1,42","1,36","1,56","1,39","0,93"
ModernGENA  large (fa2 + autocast bf16),"0,66","0,62","0,64","0,62","0,46","0,45"
