NA12877	ceph	M
NA12878	ceph	F
HGDP00815	chinese	M
HG00513	chinese	F
HG00190	finnish	M
HG00171	finnish	F
HG00138	british	M
HG00253	british	F
HGDP00888	russian	M
HGDP00898	russian	F
HGDP00950	yakut	M
HGDP00959	yakut	F
HGDP01404	adygei	M
HGDP01399	adygei	F
HGDP01050	pima	M
HGDP01041	pima	F
HGDP01081	mbuti	M
HGDP00471	mbuti	F
HG01953	peruvian	M
HG01573	peruvian	F
HGDP00727	palestinian	M
HGDP00699	palestinian	F
HGDP00551	papuan	M
HGDP00550	papuan	F
NA21111	gujarati	M
NA20896	gujarati	F
HGDP00258	pathan	M
HGDP00237	pathan	F
HGDP00929	yoruba	M
NA19129	yoruba	F
HGDP00845	surui	M
HGDP00838	surui	F
HGDP01167	tuscan	M
HGDP01169	tuscan	F
HGDP01300	uygur	M
HGDP01305	uygur	F
HG03081	mende	M
HG03055	mende	F
